Country,Total,Fair,Region
Austria,142,205,Europe
Belgium,251,65.7,Europe
Canada,402.4,271.85,North America
Czech Republic,131,2.7,Europe
Denmark,96,66.9,Europe
Estonia,13.4,0.67,Europe
Finland ,61.3,102,Europe
Rest of World,17979,43.2,Rest of World
France,583,332.1,Europe
Germany ,1511,372.7,Europe
Ireland ,133,151.3,Europe
Italy,529,54.2,Europe
Japan,158,15.8,Asia
Latvia,13.3,0.46,Europe
Lithuania,24.8,0.82,Europe
Luxembourg,20.9,6.8,Europe
Netherlands,460.1,130.4,Europe
Norway,102.9,47.9,Europe
South Africa,81.6,2.07,Africa
Spain,135,16.2,Europe
Sweden,151.1,118.82,Europe
Switzerland,301.1,241.1,Europe
UK,507,1472.1,Europe
USA,1623,1026,USA
AUS/NZ,52,137,AUS/NZ
China,2343,0.5,Asia
India,154,0.4,Asia


